tanggal,pendapatan,tabungan,jumlah_pokok,jumlah_want
2022-12-25,1742000,348400,871000,522600
2023-04-04,7655000,1531000,3827500,2296500
2021-10-13,7678000,1535600,3839000,2303400
2021-01-14,5745000,1149000,2872500,1723500
2023-03-16,3405000,681000,1702500,1021500
2022-12-07,2625000,525000,1312500,787500
2023-10-02,4131000,826200,2065500,1239300
2023-05-19,4934000,986800,2467000,1480200
2023-07-20,3386000,677200,1693000,1015800
2022-09-09,340000,68000,170000,102000
2023-02-23,5618000,1123600,2809000,1685400
2021-04-02,2706000,541200,1353000,811800
2022-11-28,2928000,585600,1464000,878400
2021-07-11,2685000,537000,1342500,805500
2023-03-03,3748000,749600,1874000,1124400
2024-08-09,990000,198000,495000,297000
2022-12-08,8808000,1761600,4404000,2642400
2021-11-01,6791000,1358200,3395500,2037300
2022-10-17,9473000,1894600,4736500,2841900
2021-07-25,6426000,1285200,3213000,1927800
2024-10-22,8839000,1767800,4419500,2651700
2021-07-31,4005000,801000,2002500,1201500
2021-06-22,7996000,1599200,3998000,2398800
2024-04-02,8775000,1755000,4387500,2632500
2022-04-14,7471000,1494200,3735500,2241300
2021-02-10,6944000,1388800,3472000,2083200
2022-01-12,9197000,1839400,4598500,2759100
2022-12-23,5752000,1150400,2876000,1725600
2024-07-27,5294000,1058800,2647000,1588200
2024-09-12,5350000,1070000,2675000,1605000
2022-01-11,8665000,1733000,4332500,2599500
2024-02-10,9763000,1952600,4881500,2928900
2024-06-05,5962000,1192400,2981000,1788600
2024-02-15,2485000,497000,1242500,745500
2021-10-12,3482000,696400,1741000,1044600
2022-10-04,4130000,826000,2065000,1239000
2023-02-13,5978000,1195600,2989000,1793400
2024-08-05,8811000,1762200,4405500,2643300
2021-08-25,6893000,1378600,3446500,2067900
2023-07-01,3466000,693200,1733000,1039800
2023-10-15,9290000,1858000,4645000,2787000
2022-08-12,8981000,1796200,4490500,2694300
2022-12-17,8936000,1787200,4468000,2680800
2022-04-17,2089000,417800,1044500,626700
2023-01-12,356000,71200,178000,106800
2023-05-06,2905000,581000,1452500,871500
2023-08-02,3567000,713400,1783500,1070100
2023-07-10,9225000,1845000,4612500,2767500
2022-10-08,2585000,517000,1292500,775500
2024-07-16,8001000,1600200,4000500,2400300
2022-07-19,3099000,619800,1549500,929700
2022-12-11,8816000,1763200,4408000,2644800
2023-12-07,8691000,1738200,4345500,2607300
2023-08-18,4544000,908800,2272000,1363200
2023-12-20,939000,187800,469500,281700
2023-06-26,3369000,673800,1684500,1010700
2022-10-29,2469000,493800,1234500,740700
2024-10-23,4617000,923400,2308500,1385100
2021-02-08,7531000,1506200,3765500,2259300
2024-04-14,4584000,916800,2292000,1375200
2023-10-22,3273000,654600,1636500,981900
2022-01-11,4754000,950800,2377000,1426200
2023-05-13,2467000,493400,1233500,740100
2024-11-07,1724000,344800,862000,517200
2022-11-05,6154000,1230800,3077000,1846200
2022-12-21,7355000,1471000,3677500,2206500
2021-03-23,8335000,1667000,4167500,2500500
2021-03-23,758000,151600,379000,227400
2023-01-26,8462000,1692400,4231000,2538600
2023-04-28,2532000,506400,1266000,759600
2021-10-12,665000,133000,332500,199500
2022-02-16,2192000,438400,1096000,657600
2024-12-02,9580000,1916000,4790000,2874000
2021-04-22,2816000,563200,1408000,844800
2024-05-19,1917000,383400,958500,575100
2023-01-17,3657000,731400,1828500,1097100
2022-05-27,6770000,1354000,3385000,2031000
2023-05-15,441000,88200,220500,132300
2022-09-24,2115000,423000,1057500,634500
2022-08-01,7702000,1540400,3851000,2310600
2023-08-29,165000,33000,82500,49500
2023-08-08,1093000,218600,546500,327900
2022-08-25,6969000,1393800,3484500,2090700
2022-01-21,7934000,1586800,3967000,2380200
2023-04-20,2305000,461000,1152500,691500
2022-11-12,6523000,1304600,3261500,1956900
2022-02-28,8839000,1767800,4419500,2651700
2023-08-22,4971000,994200,2485500,1491300
2021-11-15,2322000,464400,1161000,696600
2023-08-04,7704000,1540800,3852000,2311200
2022-10-16,9367000,1873400,4683500,2810100
2021-04-26,4663000,932600,2331500,1398900
2021-12-19,8485000,1697000,4242500,2545500
2023-08-31,9829000,1965800,4914500,2948700
2022-07-24,315000,63000,157500,94500
2021-08-24,4702000,940400,2351000,1410600
2022-02-10,3225000,645000,1612500,967500
2023-03-28,8205000,1641000,4102500,2461500
2021-01-31,2849000,569800,1424500,854700
2024-10-12,2124000,424800,1062000,637200
2021-10-28,409000,81800,204500,122700
2024-05-05,8204000,1640800,4102000,2461200
2021-06-15,6734000,1346800,3367000,2020200
2024-01-11,9530000,1906000,4765000,2859000
2023-07-29,1742000,348400,871000,522600
2023-09-23,9686000,1937200,4843000,2905800
2021-02-16,1835000,367000,917500,550500
2024-12-02,2716000,543200,1358000,814800
2021-10-13,4103000,820600,2051500,1230900
2022-11-15,4066000,813200,2033000,1219800
2024-10-30,9275000,1855000,4637500,2782500
2022-03-26,3122000,624400,1561000,936600
2023-11-19,7211000,1442200,3605500,2163300
2022-01-15,7179000,1435800,3589500,2153700
2023-04-09,8016000,1603200,4008000,2404800
2021-04-11,7532000,1506400,3766000,2259600
2023-09-22,201000,40200,100500,60300
2024-05-06,8929000,1785800,4464500,2678700
2021-06-02,2162000,432400,1081000,648600
2022-07-11,7378000,1475600,3689000,2213400
2021-06-16,6383000,1276600,3191500,1914900
2024-04-16,7185000,1437000,3592500,2155500
2024-02-19,4297000,859400,2148500,1289100
2024-01-16,3491000,698200,1745500,1047300
2024-01-19,8820000,1764000,4410000,2646000
2022-11-19,8589000,1717800,4294500,2576700
2022-02-24,9424000,1884800,4712000,2827200
2023-09-15,6016000,1203200,3008000,1804800
2022-03-08,3160000,632000,1580000,948000
2022-03-04,2879000,575800,1439500,863700
2024-10-23,9912000,1982400,4956000,2973600
2023-05-01,6283000,1256600,3141500,1884900
2024-09-20,1844000,368800,922000,553200
2021-01-27,9224000,1844800,4612000,2767200
2022-09-05,3337000,667400,1668500,1001100
2021-11-19,7426000,1485200,3713000,2227800
2021-06-11,1838000,367600,919000,551400
2021-05-07,9963000,1992600,4981500,2988900
2022-10-28,3113000,622600,1556500,933900
2023-01-23,5529000,1105800,2764500,1658700
2021-03-31,7550000,1510000,3775000,2265000
2023-06-06,5422000,1084400,2711000,1626600
2022-06-06,750000,150000,375000,225000
2022-02-15,6078000,1215600,3039000,1823400
2023-06-24,734000,146800,367000,220200
2024-05-05,735000,147000,367500,220500
2023-12-17,577000,115400,288500,173100
2021-01-28,8241000,1648200,4120500,2472300
2021-10-24,5703000,1140600,2851500,1710900
2021-11-16,223000,44600,111500,66900
2021-08-01,2873000,574600,1436500,861900
2022-12-27,7415000,1483000,3707500,2224500
2023-05-07,7435000,1487000,3717500,2230500
2024-02-26,9730000,1946000,4865000,2919000
2021-12-03,923000,184600,461500,276900
2021-11-19,1605000,321000,802500,481500
2022-08-21,2222000,444400,1111000,666600
2023-02-12,7122000,1424400,3561000,2136600
2021-10-04,4414000,882800,2207000,1324200
2021-07-16,6535000,1307000,3267500,1960500
2022-03-06,9572000,1914400,4786000,2871600
2022-10-17,5400000,1080000,2700000,1620000
2024-08-14,9775000,1955000,4887500,2932500
2023-07-19,404000,80800,202000,121200
2023-03-15,9871000,1974200,4935500,2961300
2022-04-26,7479000,1495800,3739500,2243700
2023-11-12,1469000,293800,734500,440700
2023-04-23,1154000,230800,577000,346200
2023-07-13,3864000,772800,1932000,1159200
2022-03-24,9498000,1899600,4749000,2849400
2024-12-02,4793000,958600,2396500,1437900
2023-01-05,6109000,1221800,3054500,1832700
2022-07-12,9585000,1917000,4792500,2875500
2024-08-01,4466000,893200,2233000,1339800
2024-08-22,5295000,1059000,2647500,1588500
2021-10-13,394000,78800,197000,118200
2022-06-26,2760000,552000,1380000,828000
2022-07-22,9146000,1829200,4573000,2743800
2023-07-05,6065000,1213000,3032500,1819500
2024-11-21,1178000,235600,589000,353400
2023-07-26,6926000,1385200,3463000,2077800
2021-11-28,3357000,671400,1678500,1007100
2021-12-08,111000,22200,55500,33300
2021-09-18,5456000,1091200,2728000,1636800
2024-12-11,4344000,868800,2172000,1303200
2023-08-10,2859000,571800,1429500,857700
2024-07-17,2607000,521400,1303500,782100
2022-09-18,4748000,949600,2374000,1424400
2024-12-10,961000,192200,480500,288300
2022-10-27,3456000,691200,1728000,1036800
2022-03-22,7160000,1432000,3580000,2148000
2023-12-22,4944000,988800,2472000,1483200
2023-10-23,1900000,380000,950000,570000
2024-02-04,8800000,1760000,4400000,2640000
2021-05-19,5301000,1060200,2650500,1590300
2021-04-29,6350000,1270000,3175000,1905000
2024-02-20,9236000,1847200,4618000,2770800
2023-08-14,9882000,1976400,4941000,2964600
2023-01-03,5961000,1192200,2980500,1788300
2022-06-21,7185000,1437000,3592500,2155500
2022-08-31,5194000,1038800,2597000,1558200
2024-08-20,9582000,1916400,4791000,2874600
2022-10-20,2723000,544600,1361500,816900
2021-10-29,9199000,1839800,4599500,2759700
2024-10-25,7217000,1443400,3608500,2165100
2021-06-24,8203000,1640600,4101500,2460900
2024-02-18,7416000,1483200,3708000,2224800
2024-01-04,4005000,801000,2002500,1201500
2022-10-21,4268000,853600,2134000,1280400
2021-04-17,6419000,1283800,3209500,1925700
2022-08-08,474000,94800,237000,142200
2022-12-30,4811000,962200,2405500,1443300
2024-05-08,2894000,578800,1447000,868200
2023-02-09,7245000,1449000,3622500,2173500
2021-12-24,7350000,1470000,3675000,2205000
2024-11-12,4931000,986200,2465500,1479300
2023-12-03,3751000,750200,1875500,1125300
2024-08-19,7171000,1434200,3585500,2151300
2022-04-13,9286000,1857200,4643000,2785800
2022-12-07,5528000,1105600,2764000,1658400
2024-03-15,6627000,1325400,3313500,1988100
2024-01-29,5364000,1072800,2682000,1609200
2024-10-22,5073000,1014600,2536500,1521900
2023-05-04,3367000,673400,1683500,1010100
2021-03-10,7827000,1565400,3913500,2348100
2023-06-11,7978000,1595600,3989000,2393400
2024-04-30,9261000,1852200,4630500,2778300
2024-08-31,1770000,354000,885000,531000
2022-09-17,1562000,312400,781000,468600
2021-07-09,1407000,281400,703500,422100
2021-03-02,5871000,1174200,2935500,1761300
2021-11-11,3069000,613800,1534500,920700
2023-04-26,7604000,1520800,3802000,2281200
2024-10-01,8605000,1721000,4302500,2581500
2022-08-06,253000,50600,126500,75900
2022-12-08,8881000,1776200,4440500,2664300
2023-09-21,7260000,1452000,3630000,2178000
2021-06-22,531000,106200,265500,159300
2021-03-29,588000,117600,294000,176400
2024-04-11,8574000,1714800,4287000,2572200
2023-09-08,3271000,654200,1635500,981300
2023-05-12,4503000,900600,2251500,1350900
2022-12-15,3247000,649400,1623500,974100
2022-10-06,1131000,226200,565500,339300
2024-11-24,7406000,1481200,3703000,2221800
2021-04-17,9835000,1967000,4917500,2950500
2022-12-25,2134000,426800,1067000,640200
2024-10-24,5188000,1037600,2594000,1556400
2024-10-16,7410000,1482000,3705000,2223000
2021-03-30,3579000,715800,1789500,1073700
2022-05-24,7734000,1546800,3867000,2320200
2024-08-22,9992000,1998400,4996000,2997600
2021-01-18,7130000,1426000,3565000,2139000
2023-03-04,9678000,1935600,4839000,2903400
2024-11-12,6152000,1230400,3076000,1845600
2024-08-27,1791000,358200,895500,537300
2023-01-18,1738000,347600,869000,521400
2021-10-06,2834000,566800,1417000,850200
2023-10-18,5899000,1179800,2949500,1769700
2022-11-16,1226000,245200,613000,367800
2022-01-18,7285000,1457000,3642500,2185500
2021-04-06,827000,165400,413500,248100
2021-06-15,5014000,1002800,2507000,1504200
2021-05-23,6655000,1331000,3327500,1996500
2021-10-21,2748000,549600,1374000,824400
2024-06-02,6431000,1286200,3215500,1929300
2022-05-09,7462000,1492400,3731000,2238600
2022-04-30,3801000,760200,1900500,1140300
2024-01-27,6738000,1347600,3369000,2021400
2024-09-26,9094000,1818800,4547000,2728200
2021-06-14,2410000,482000,1205000,723000
2022-01-07,2075000,415000,1037500,622500
2023-07-20,4493000,898600,2246500,1347900
2023-11-02,9608000,1921600,4804000,2882400
2022-01-23,4825000,965000,2412500,1447500
2022-09-06,2528000,505600,1264000,758400
2021-10-26,5766000,1153200,2883000,1729800
2023-04-06,6738000,1347600,3369000,2021400
2023-10-25,189000,37800,94500,56700
2022-04-21,5363000,1072600,2681500,1608900
2022-07-10,8929000,1785800,4464500,2678700
2021-08-04,7739000,1547800,3869500,2321700
2023-07-15,8262000,1652400,4131000,2478600
2024-03-23,4663000,932600,2331500,1398900
2023-02-06,741000,148200,370500,222300
2021-06-26,2149000,429800,1074500,644700
2023-10-26,1767000,353400,883500,530100
2023-09-20,5669000,1133800,2834500,1700700
2023-08-31,1020000,204000,510000,306000
2024-04-01,1183000,236600,591500,354900
2024-08-24,8873000,1774600,4436500,2661900
2022-09-05,9416000,1883200,4708000,2824800
2023-02-17,7682000,1536400,3841000,2304600
2022-08-04,3950000,790000,1975000,1185000
2023-09-17,8010000,1602000,4005000,2403000
2023-06-13,7896000,1579200,3948000,2368800
2022-09-07,7809000,1561800,3904500,2342700
2023-11-04,5449000,1089800,2724500,1634700
2024-11-12,8932000,1786400,4466000,2679600
2024-05-15,2824000,564800,1412000,847200
2023-12-07,4953000,990600,2476500,1485900
2024-06-25,7250000,1450000,3625000,2175000
2021-08-06,1914000,382800,957000,574200
2021-11-10,2786000,557200,1393000,835800
2021-10-09,7563000,1512600,3781500,2268900
2021-05-05,222000,44400,111000,66600
2023-08-06,4645000,929000,2322500,1393500
2024-12-01,381000,76200,190500,114300
2022-11-09,4803000,960600,2401500,1440900
2023-09-23,6222000,1244400,3111000,1866600
2021-08-16,3527000,705400,1763500,1058100
2022-03-15,8086000,1617200,4043000,2425800
2022-07-12,9669000,1933800,4834500,2900700
2022-06-14,4483000,896600,2241500,1344900
2024-07-23,653000,130600,326500,195900
2021-09-09,2100000,420000,1050000,630000
2022-01-13,8782000,1756400,4391000,2634600
2023-01-16,7471000,1494200,3735500,2241300
2023-08-05,3678000,735600,1839000,1103400
2022-02-27,3875000,775000,1937500,1162500
2023-07-20,6432000,1286400,3216000,1929600
2021-02-05,1604000,320800,802000,481200
2021-07-27,9297000,1859400,4648500,2789100
2023-11-16,9582000,1916400,4791000,2874600
2024-10-08,1480000,296000,740000,444000
2022-07-28,790000,158000,395000,237000
2021-11-15,827000,165400,413500,248100
2022-04-26,9160000,1832000,4580000,2748000
2022-04-15,269000,53800,134500,80700
2021-11-29,8704000,1740800,4352000,2611200
2022-04-03,6799000,1359800,3399500,2039700
2022-04-27,5325000,1065000,2662500,1597500
2023-06-13,2265000,453000,1132500,679500
2023-01-05,7617000,1523400,3808500,2285100
2024-03-04,1518000,303600,759000,455400
2022-11-15,840000,168000,420000,252000
2021-12-09,1188000,237600,594000,356400
2022-11-25,1971000,394200,985500,591300
2021-08-18,6162000,1232400,3081000,1848600
2021-11-28,6010000,1202000,3005000,1803000
2022-06-10,4906000,981200,2453000,1471800
2023-08-03,2659000,531800,1329500,797700
2022-02-26,4483000,896600,2241500,1344900
2021-10-24,54000,10800,27000,16200
2024-09-13,6307000,1261400,3153500,1892100
2022-08-22,2661000,532200,1330500,798300
2022-12-18,5079000,1015800,2539500,1523700
2023-02-21,3460000,692000,1730000,1038000
2022-01-13,4097000,819400,2048500,1229100
2021-04-26,5995000,1199000,2997500,1798500
2021-05-17,1944000,388800,972000,583200
2023-04-19,8132000,1626400,4066000,2439600
2022-01-28,7757000,1551400,3878500,2327100
2022-08-10,1839000,367800,919500,551700
2023-11-19,2664000,532800,1332000,799200
2022-12-03,98000,19600,49000,29400
2024-10-07,9771000,1954200,4885500,2931300
2024-11-03,9009000,1801800,4504500,2702700
2023-01-23,3473000,694600,1736500,1041900
2022-06-20,6793000,1358600,3396500,2037900
2023-09-01,659000,131800,329500,197700
2021-09-24,8123000,1624600,4061500,2436900
2024-08-21,1445000,289000,722500,433500
2024-06-03,6938000,1387600,3469000,2081400
2024-10-22,7626000,1525200,3813000,2287800
2021-01-20,8312000,1662400,4156000,2493600
2024-12-07,523000,104600,261500,156900
2024-03-19,2873000,574600,1436500,861900
2022-09-25,4768000,953600,2384000,1430400
2023-09-21,9108000,1821600,4554000,2732400
2024-08-10,9959000,1991800,4979500,2987700
2022-08-27,4238000,847600,2119000,1271400
2024-09-18,8700000,1740000,4350000,2610000
2024-08-14,8027000,1605400,4013500,2408100
2022-06-01,1966000,393200,983000,589800
2021-06-04,2562000,512400,1281000,768600
2024-10-12,8164000,1632800,4082000,2449200
2023-01-08,1694000,338800,847000,508200
2022-03-11,2206000,441200,1103000,661800
2021-12-18,5436000,1087200,2718000,1630800
2023-02-24,5167000,1033400,2583500,1550100
2024-11-28,9576000,1915200,4788000,2872800
2024-05-15,1258000,251600,629000,377400
2023-03-20,9220000,1844000,4610000,2766000
2023-09-22,741000,148200,370500,222300
2023-10-20,5307000,1061400,2653500,1592100
2022-04-07,5826000,1165200,2913000,1747800
2024-09-14,2788000,557600,1394000,836400
2021-05-06,8922000,1784400,4461000,2676600
2023-12-08,2948000,589600,1474000,884400
2022-02-16,6629000,1325800,3314500,1988700
2021-04-17,7767000,1553400,3883500,2330100
2022-10-16,1821000,364200,910500,546300
2021-07-03,4970000,994000,2485000,1491000
2022-07-21,6700000,1340000,3350000,2010000
2022-08-30,3419000,683800,1709500,1025700
2022-07-15,6692000,1338400,3346000,2007600
2024-07-06,2276000,455200,1138000,682800
2022-03-31,7940000,1588000,3970000,2382000
2022-06-06,4424000,884800,2212000,1327200
2023-01-07,6770000,1354000,3385000,2031000
2021-07-29,1943000,388600,971500,582900
2021-03-18,9228000,1845600,4614000,2768400
2023-10-26,9756000,1951200,4878000,2926800
2024-10-31,7415000,1483000,3707500,2224500
2022-05-13,9465000,1893000,4732500,2839500
2023-04-15,1390000,278000,695000,417000
2021-06-09,5978000,1195600,2989000,1793400
2021-08-14,8522000,1704400,4261000,2556600
2024-07-16,67000,13400,33500,20100
2024-07-03,9511000,1902200,4755500,2853300
2022-09-14,8260000,1652000,4130000,2478000
2021-04-09,6059000,1211800,3029500,1817700
2021-10-10,5138000,1027600,2569000,1541400
2021-11-16,8728000,1745600,4364000,2618400
2023-12-20,4729000,945800,2364500,1418700
2023-02-09,5025000,1005000,2512500,1507500
2021-03-31,9841000,1968200,4920500,2952300
2024-11-28,5085000,1017000,2542500,1525500
2023-11-11,8733000,1746600,4366500,2619900
2022-05-30,690000,138000,345000,207000
2021-04-25,876000,175200,438000,262800
2023-04-18,6891000,1378200,3445500,2067300
2022-05-18,3948000,789600,1974000,1184400
2022-12-17,3348000,669600,1674000,1004400
2023-04-26,2683000,536600,1341500,804900
2024-07-11,2121000,424200,1060500,636300
2022-06-29,8571000,1714200,4285500,2571300
2024-08-08,3718000,743600,1859000,1115400
2024-02-15,9591000,1918200,4795500,2877300
2021-02-11,5185000,1037000,2592500,1555500
2024-03-05,4847000,969400,2423500,1454100
2024-02-02,3175000,635000,1587500,952500
2021-11-10,2094000,418800,1047000,628200
2022-07-01,3570000,714000,1785000,1071000
2023-10-03,4027000,805400,2013500,1208100
2022-03-16,2838000,567600,1419000,851400
2021-03-10,9630000,1926000,4815000,2889000
2023-06-09,1781000,356200,890500,534300
2021-02-03,3726000,745200,1863000,1117800
2021-05-28,4695000,939000,2347500,1408500
2022-06-25,2668000,533600,1334000,800400
2024-09-30,9130000,1826000,4565000,2739000
2023-05-24,3931000,786200,1965500,1179300
2022-11-27,5519000,1103800,2759500,1655700
2023-05-01,4285000,857000,2142500,1285500
2022-12-13,6598000,1319600,3299000,1979400
2022-09-01,3397000,679400,1698500,1019100
2024-08-24,9989000,1997800,4994500,2996700
2022-05-01,4319000,863800,2159500,1295700
2024-10-30,9442000,1888400,4721000,2832600
2022-03-10,6539000,1307800,3269500,1961700
2022-06-16,7515000,1503000,3757500,2254500
2022-11-27,4403000,880600,2201500,1320900
2023-06-25,1646000,329200,823000,493800
2023-04-01,4717000,943400,2358500,1415100
2022-04-07,9564000,1912800,4782000,2869200
2024-06-22,8715000,1743000,4357500,2614500
2021-07-30,5162000,1032400,2581000,1548600
2021-01-19,7711000,1542200,3855500,2313300
2022-05-07,8575000,1715000,4287500,2572500
2023-08-16,4936000,987200,2468000,1480800
2022-08-31,9782000,1956400,4891000,2934600
2024-01-03,9323000,1864600,4661500,2796900
2024-07-03,6691000,1338200,3345500,2007300
2024-09-12,8000000,1600000,4000000,2400000
2021-11-26,6230000,1246000,3115000,1869000
2021-12-17,1522000,304400,761000,456600
2023-11-19,1841000,368200,920500,552300
2021-12-09,1567000,313400,783500,470100
2021-08-09,9684000,1936800,4842000,2905200
2021-07-20,454000,90800,227000,136200
2023-03-21,8688000,1737600,4344000,2606400
2021-07-22,2282000,456400,1141000,684600
2021-07-28,6187000,1237400,3093500,1856100
2023-02-26,1206000,241200,603000,361800
2022-05-25,6586000,1317200,3293000,1975800
2024-02-17,2502000,500400,1251000,750600
2021-12-26,9717000,1943400,4858500,2915100
2024-06-23,1055000,211000,527500,316500
2023-07-21,5660000,1132000,2830000,1698000
2024-09-06,443000,88600,221500,132900
2024-03-09,9781000,1956200,4890500,2934300
2022-08-03,6315000,1263000,3157500,1894500
2023-12-11,9685000,1937000,4842500,2905500
2022-10-15,4542000,908400,2271000,1362600
2021-11-21,4152000,830400,2076000,1245600
2022-04-02,4779000,955800,2389500,1433700
2024-05-31,4152000,830400,2076000,1245600
2024-04-15,9383000,1876600,4691500,2814900
2022-10-06,9754000,1950800,4877000,2926200
2024-03-29,2035000,407000,1017500,610500
2024-10-04,5665000,1133000,2832500,1699500
2021-10-03,9759000,1951800,4879500,2927700
2021-06-28,5106000,1021200,2553000,1531800
2023-05-05,6930000,1386000,3465000,2079000
2022-11-02,829000,165800,414500,248700
2024-05-22,9889000,1977800,4944500,2966700
2022-06-14,8389000,1677800,4194500,2516700
2022-03-31,5922000,1184400,2961000,1776600
2022-07-31,3220000,644000,1610000,966000
2024-02-12,9510000,1902000,4755000,2853000
2024-10-27,7361000,1472200,3680500,2208300
2022-12-11,5372000,1074400,2686000,1611600
2022-01-25,1355000,271000,677500,406500
2022-11-10,3648000,729600,1824000,1094400
2024-01-28,8710000,1742000,4355000,2613000
2024-07-26,6739000,1347800,3369500,2021700
2022-10-08,1216000,243200,608000,364800
2023-02-14,5620000,1124000,2810000,1686000
2024-06-24,6464000,1292800,3232000,1939200
2024-10-31,4639000,927800,2319500,1391700
2022-11-22,4031000,806200,2015500,1209300
2024-01-21,409000,81800,204500,122700
2024-11-10,2993000,598600,1496500,897900
2021-09-16,4840000,968000,2420000,1452000
2024-08-14,2422000,484400,1211000,726600
2021-06-15,5044000,1008800,2522000,1513200
2023-09-24,163000,32600,81500,48900
2023-02-02,3956000,791200,1978000,1186800
2023-10-08,4489000,897800,2244500,1346700
2023-06-07,5389000,1077800,2694500,1616700
2023-07-30,9701000,1940200,4850500,2910300
2021-09-12,2823000,564600,1411500,846900
2024-10-23,7124000,1424800,3562000,2137200
2022-10-17,4943000,988600,2471500,1482900
2021-11-11,3913000,782600,1956500,1173900
2023-04-30,1317000,263400,658500,395100
2023-12-25,9771000,1954200,4885500,2931300
2023-11-28,5863000,1172600,2931500,1758900
2021-01-17,8183000,1636600,4091500,2454900
2023-03-13,4203000,840600,2101500,1260900
2021-06-29,6099000,1219800,3049500,1829700
2022-03-17,6813000,1362600,3406500,2043900
2024-11-24,5835000,1167000,2917500,1750500
2021-02-04,715000,143000,357500,214500
2023-10-22,4859000,971800,2429500,1457700
2023-08-20,7427000,1485400,3713500,2228100
2023-06-12,5203000,1040600,2601500,1560900
2023-09-01,3232000,646400,1616000,969600
2024-01-28,2205000,441000,1102500,661500
2021-04-24,8466000,1693200,4233000,2539800
2024-04-09,9644000,1928800,4822000,2893200
2022-09-27,906000,181200,453000,271800
2023-11-19,8761000,1752200,4380500,2628300
2022-09-18,4248000,849600,2124000,1274400
2024-07-27,8810000,1762000,4405000,2643000
2021-08-29,4444000,888800,2222000,1333200
2021-05-10,8656000,1731200,4328000,2596800
2021-09-21,8403000,1680600,4201500,2520900
2024-03-11,295000,59000,147500,88500
2023-01-17,7220000,1444000,3610000,2166000
2022-09-24,747000,149400,373500,224100
2024-10-24,9540000,1908000,4770000,2862000
2023-06-04,2183000,436600,1091500,654900
2023-02-28,8098000,1619600,4049000,2429400
2023-08-07,552000,110400,276000,165600
2023-07-18,7567000,1513400,3783500,2270100
2024-02-06,404000,80800,202000,121200
2021-09-27,1120000,224000,560000,336000
2022-10-19,3616000,723200,1808000,1084800
2024-03-07,8829000,1765800,4414500,2648700
2024-10-15,2862000,572400,1431000,858600
2021-11-21,2752000,550400,1376000,825600
2024-08-07,2762000,552400,1381000,828600
2024-11-08,2308000,461600,1154000,692400
2024-11-02,7538000,1507600,3769000,2261400
2024-02-06,2417000,483400,1208500,725100
2021-10-19,6447000,1289400,3223500,1934100
